Date,Open,High,Low,Close,Volume
02/09/2023,"89.59","90.86","86.69","86.96","437,229"
02/08/2023,"90.54","91.53","87.90","88.42","349,309"
02/07/2023,"88.40","90.99","86.65","90.87","593,102"
02/06/2023,"88.28","89.97","87.76","88.68","507,165"
02/03/2023,"92.91","95.05","90.08","90.44","759,911"
02/02/2023,"93.10","97.08","93.10","96.92","1,252,111"
02/01/2023,"86.73","90.87","85.04","90.51","769,595"
01/31/2023,"85.85","87.41","85.41","86.98","469,485"
01/30/2023,"87.04","87.56","84.67","85.72","397,999"
01/27/2023,"87.22","89.51","86.83","88.27","578,598"
01/26/2023,"87.85","88.71","85.00","87.52","338,690"
01/25/2023,"86.23","86.47","83.11","85.48","512,345"
01/24/2023,"87.37","89.06","86.61","86.84","407,327"
01/23/2023,"86.01","89.34","85.95","88.44","803,591"
01/20/2023,"82.76","85.60","81.69","85.58","451,515"
01/19/2023,"82.01","82.92","80.57","81.88","578,126"
01/18/2023,"84.75","86.84","82.90","82.91","610,858"
01/17/2023,"83.00","84.65","81.22","84.05","575,958"
01/13/2023,"80.03","83.41","80.00","83.10","681,797"
01/12/2023,"81.09","82.12","77.40","81.74","884,741"
01/11/2023,"76.11","78.33","76.11","78.11","526,082"
01/10/2023,"76.95","78.70","76.41","76.85","563,938"
01/09/2023,"76.20","78.74","75.85","77.07","1,148,661"
01/06/2023,"75.13","75.28","70.28","74.62","733,591"
01/05/2023,"77.48","78.20","74.26","74.92","1,077,682"
01/04/2023,"76.74","78.40","75.31","78.21","600,404"
01/03/2023,"77.57","79.13","75.31","75.51","626,510"
12/30/2022,"73.99","77.18","73.99","76.83","602,682"
12/29/2022,"72.05","75.95","71.81","75.71","707,874"
12/28/2022,"72.66","73.86","71.22","71.27","947,277"
12/27/2022,"75.24","75.70","72.91","73.37","831,120"
12/23/2022,"77.94","77.94","75.37","76.27","798,649"
12/22/2022,"80.05","80.98","76.53","78.64","583,803"
12/21/2022,"80.23","82.00","79.19","81.19","395,153"
12/20/2022,"77.81","80.70","77.51","80.10","595,356"
12/19/2022,"81.01","81.01","78.13","78.74","667,679"
12/16/2022,"80.81","82.39","79.40","80.89","1,141,620"
12/15/2022,"82.44","83.67","80.68","81.31","981,269"
12/14/2022,"84.38","86.13","83.30","84.79","804,762"
12/13/2022,"89.10","90.00","83.49","85.61","644,266"
12/12/2022,"82.70","83.88","82.00","83.75","771,064"
12/09/2022,"83.78","84.44","82.50","82.74","565,725"
12/08/2022,"80.55","84.63","80.31","83.86","646,718"
12/07/2022,"81.56","82.33","79.75","80.29","753,319"
12/06/2022,"85.07","85.41","80.14","81.57","1,162,042"
12/05/2022,"88.94","90.37","85.34","85.57","1,060,710"
12/02/2022,"88.16","91.79","86.66","89.44","921,768"
12/01/2022,"90.77","95.78","90.76","91.14","1,149,853"
11/30/2022,"84.17","90.49","84.09","90.49","794,258"
11/29/2022,"84.11","86.98","84.11","84.55","617,757"
11/28/2022,"85.88","88.16","84.03","84.08","523,671"
11/25/2022,"84.37","86.75","84.08","86.36","178,446"
11/23/2022,"84.00","85.69","83.48","84.86","695,146"
11/22/2022,"83.68","85.40","81.83","83.85","765,060"
11/21/2022,"83.61","86.04","83.00","83.76","606,132"
11/18/2022,"88.86","88.86","84.06","85.09","447,798"
11/17/2022,"85.26","88.23","83.74","86.65","603,706"
11/16/2022,"88.99","90.84","87.02","87.13","886,356"
11/15/2022,"90.05","91.94","89.51","91.24","836,293"
11/14/2022,"83.54","88.07","80.86","86.92","1,136,290"
11/11/2022,"82.50","86.39","82.41","84.99","1,369,648"
11/10/2022,"81.35","86.72","80.00","83.69","2,778,050"
11/09/2022,"68.74","70.08","67.50","69.52","1,169,270"
11/08/2022,"71.47","71.47","66.83","69.71","1,304,905"
11/07/2022,"70.67","70.90","66.18","70.64","1,210,961"
11/04/2022,"80.36","80.84","69.62","70.35","1,391,487"
11/03/2022,"77.67","81.46","76.83","80.33","577,005"
11/02/2022,"83.14","83.29","78.94","79.09","601,104"
11/01/2022,"86.74","88.12","83.81","83.84","566,571"
10/31/2022,"84.44","86.13","83.39","84.10","367,771"
10/28/2022,"82.09","85.29","80.53","85.17","479,588"
10/27/2022,"83.51","86.67","83.21","83.35","475,153"
10/26/2022,"83.84","87.44","82.15","83.02","733,394"
10/25/2022,"79.13","86.21","79.13","85.97","1,265,660"
10/24/2022,"79.80","79.80","74.82","78.31","502,881"
10/21/2022,"78.71","79.98","74.66","79.81","503,790"
10/20/2022,"73.36","80.32","72.71","79.48","1,102,051"
10/19/2022,"74.49","75.53","72.41","72.71","562,946"
10/18/2022,"77.29","78.58","74.73","75.88","526,804"
10/17/2022,"73.16","75.18","72.55","74.08","500,872"
10/14/2022,"73.82","75.18","70.35","70.41","514,643"
10/13/2022,"69.50","73.18","67.37","72.35","976,205"
10/12/2022,"74.24","74.64","71.76","72.53","674,393"
10/11/2022,"74.88","76.35","71.40","74.60","637,206"
